MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Images,image,Image,Gender,mp_note,Email,Contact,attendance,Start of Term
Ram Kadam,1900-02-21,Ghatkopar West,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ram Kadam.jpg,,,,,,
Ramdas Maluji Masram,1900-02-24,Armori,Male,Indian National Congress,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ramdas Maluji Masram.jpg,,,,,,
Ramesh Kashiram Karad,1900-02-26,Latur Rural,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ramesh Kashiram Karad.jpg,,,,,,
Ramesh Nanasaheb Bornare (Sir) ,1900-02-27,Vaijapur,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Bornare (Sir) Ramesh Nanasaheb.jpg,,,,,,
Ramji Narote Milind,1900-02-08,Gadchiroli,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Milind Ramji Narote.jpg,,,,,,
Ranajagjitsinha Padmasinha Patil,1900-02-21,Tuljapur,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ranajagjitsinha Padmasinha Patil.jpg,,,,,,
Randhir Pralhadrao Sawarkar,1900-02-20,Akola East,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Randhir Pralhadrao Sawarkar.jpg,,,,,,
Ranjanatai (Sanjana) Harshvardhan Jadhav,1900-02-10,Kannad,Female,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ranjanatai (Sanjana) Harshvardhan Jadhav.jpg,,,,,,
Ratnakar Manikrao Gutte,1900-03-06,Gangakhed,Male,Rashtriya Samaj Paksha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Gutte Ratnakar Manikrao.jpg,,,,,,
Ravi Gangadhar Rana,1900-02-14,Badnera,Male,Rashtriya Yuva Swabhiman Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ravi Gangadhar Rana.jpg,,,,,,
Ravindra Dagdu Patil,1900-03-13,Pen,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Dadaji Dagdu Bhuse.jpg,,,,,,
Ravindra Dattatray Chavan,1900-02-23,Dombivali,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Chavan Ravindra Dattatray.jpg,,,,,,
Rohit Rajendra Pawar,1900-02-08,Karjat Jamkhed,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Rohit Pawar.jpg,,,,,,
Rohit Suman R.R. Aba Patil,1900-01-25,Tasgaon - Kavathe Mahankal,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Rohit Suman R.R. Aba Patil.jpg,,,,,,
Sachin Panchappa Kalyanshetti,1900-02-13,Akkalkot,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Kalyanshetti Sachin Panchappa.jpg,,,,,,
Sachin Patil,1900-02-23,Phaltan,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sachin Patil.jpg,,,,,,
Sai Prakash Dahake,1900-02-29,Karanja,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sai Prakash Dahake.jpg,,,,,,
Sajid Khan Pathan,1900-02-18,Akola West,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sajid Khan Pathan.jpg,,,,,,
Samadhan Mahadeo Autade,1900-02-17,Pandharpur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Autade Samadhan Mahadeo.jpg,,,,,,
Sambharao alias Baburao Kadam,1900-02-25,Hadgaon,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Kohlikar Baburao Kadam.jpg,,,,,,
Sameer Dattatraya Meghe,1900-02-15,Hingna,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sameer Dattatraya Meghe.jpg,,,,,,
Samir Tryambakrao Kunawar,1900-02-25,Hinganghat,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Samir Tryambakrao Kunawar.jpg,,,,,,
Sana Malik,1900-02-06,Anushakti Nagar,Female,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sana Malik.jpg,,,,,,
Sandeep Ravindra Kshirsagar,1900-02-12,Beed,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sandeep Ravindra Kshirsagar.jpg,,,,,,
Sangram Arunkaka Jagtap,1900-02-08,Ahmednagar City,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sangram Arunkaka Jagtap.jpg,,,,,,
Sanjay Baburao Bansode,1900-02-21,Udgir,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Baburao Bansode.jpg,,,,,,
Sanjay Dulichand Rathod,1900-02-21,Digras,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Rathod Sanjay Dulichand.jpg,,,,,,
Sanjay Govind Potnis,1900-03-09,Kalina,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Govind Potnis.jpg,,,,,,
Sanjay Mukund Kelkar,1900-03-08,Thane,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Mukund Kelkar.jpg,,,,,,
Sanjay Narayanrao Meshram,1900-03-05,Umred,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Narayanrao Meshram.jpg,,,,,,
Sanjay Nilkanthrao Derkar,1900-02-29,Wani,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Derkar Sanjay Nilkanthrao.jpg,,,,,,
Sanjay Pandurang Shirsat,1900-03-02,Aurangabad West,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Pandurang Shirsat.jpg,,,,,,
Sanjay Puram,1900-02-21,Amgaon,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Puram.jpg,,,,,,
Sanjay Rambhau Gaikwad,1900-02-26,Buldhana,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Gaikwad Sanjay Rambhau.jpg,,,,,,
Sanjay Shriram Kute,1900-02-24,Jalgaon (Jamod),Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Kute Sanjay Shriram.jpg,,,,,,
Sanjay Upadhyay,1900-02-20,Borivali,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sanjay Upadhyay.jpg,,,,,,
Sanjay Waman Savkare,1900-02-24,Bhusawal,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Savkare Sanjay Waman.jpg,,,,,,
Santosh Laxmanrao Bangar,1900-02-13,Kalamnuri,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Bangar Santosh Laxmanrao.jpg,,,,,,
Santosh Raosaheb Danve,1900-02-09,Bhokardan,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Danve Santosh Raosaheb.jpg,,,,,,
Saroj Babulal Ahire,1900-02-12,Deolali,Female,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Ahire Saroj Babulal.jpg,,,,,,
Satyajit Shivajirao Deshmukh,1900-02-20,Shirala,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Deshmukh Satyajit Shivajirao.jpg,,,,,,
Seema Mahesh Hiray,1900-02-23,Nashik West,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Hiray Seema Mahesh.jpg,,,,,,
Shambhuraj Shivajirao Desai,1900-02-27,Patan,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Desai Shambhuraj Shivajirao.jpg,,,,,,
Shankar Hiraman Mandekar,1900-02-20,Bhor,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shankar Hiraman Mandekar.jpg,,,,,,
Shankar Pandurang Jagtap,1900-02-19,Chinchwad,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Jagtap Shankar Pandurang.jpg,,,,,,
Shantaram Tukaram More,1900-02-23,Bhiwandi Rural,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shantaram Tukaram More.jpg,,,,,,
Sharaddada Bhimaji Sonawane,1900-02-20,Junnar,Male,Independent,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sharaddada Bhimaji Sonawane.jpg,,,,,,
Shekhar Govindrao Nikam,1900-02-27,Chiplun,Male,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shekhar Govindrao Nikam.jpg,,,,,,
Shirishkumar Surupsing Naik,1900-02-21,Nawapur,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shirishkumar Surupsing Naik.jpg,,,,,,
Shivaji Bhanudas Kardile,1900-03-06,Rahuri,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,2025-10-17,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Kardile Shivaji Bhanudas.jpg,,,,,,
Akshay Shivajirao Kardile,Info not available,Rahuri,Male,Bharatiya Janata Party,Elected,Information not available,2026-05-04,In Office,,,,,,,,15,Maharashtra,,,Akshay Shivajirao Kardile.jpg,,,,,,
Shivaji Shattupa Patil,1900-02-24,Chandgad,Male,Independent,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shivaji Shattupa Patil.jpg,,,,,,
Shivendraraje Abhaysinhraje Bhonsle,1900-02-20,Satara,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shivendraraje Abhaysinhraje Bhonsle.jpg,,,,,,
Shweta Vidyadhar Mahale,1900-02-10,Chikhli,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shweta Vidyadhar Mahale.jpg,,,,,,
Shyam Ramcharan Khode,1900-02-27,Washim,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Shyam Ramcharan Khode.jpg,,,,,,
Siddharth Anil Shirole,1900-02-14,Shivajinagar,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Siddharth Anil Shirole.jpg,,,,,,
Siddharth Rambhau Kharat,1900-02-27,Mehkar,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Kharat Siddharth Rambhau.jpg,,,,,,
Sneha Dube Pandit,1900-02-07,Vasai,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sneha Dube Pandit.jpg,,,,,,
Sreejaya Ashokrao Chavan,1900-02-01,Bhokar,Female,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Chavan Sreejaya Ashokrao.jpg,,,,,,
Subhash Sureshchandra Deshmukh,1900-03-07,Solapur South,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Deshmukh Subhash Sureshchandra.jpg,,,,,,
Sudhir Sacchidanand Mungantiwar,1900-03-02,Ballarpur,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Mungantiwar Sudhir Sacchidanand.jpg,,,,,,
Suhas (Aanna) Dwarkanath Kande,1900-02-18,Nandgaon,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Suhas (Aanna) Dwarkanath Kande.jpg,,,,,,
Suhas Anilrao Babar,1900-02-12,Khanapur,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Babar Suhas Anilbhau.jpg,,,,,,
Sulbha Ganpat Gaikwad,1900-02-22,Kalyan East,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sulbha Ganpat Gaikwad.jpg,,,,,,
Sulbha Sanjay Khodke,1900-03-01,Amravati,Female,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sulbha Sanjay Khodke.jpg,,,,,,
Sumit Wankhede,1900-02-09,Arvi,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sumit Wankhede.jpg,,,,,,
Sunil Dyandev Kamble,1900-02-25,Pune Cantonment,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Kamble Sunil Dyandev.jpg,,,,,,
Sunil Rajaram Raut,1900-02-28,Vikhroli,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sunil Rajaram Raut.jpg,,,,,,
Sunil Shankarrao Shelke,1900-02-13,Maval,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sunil Shankarrao Shelke.jpg,,,,,,
Sunil Waman Prabhu,1900-02-24,Dindoshi,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Sunil Waman Prabhu.jpg,,,,,,
Suresh (Bhau) Dagadu Khade,1900-03-06,Miraj,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Suresh(Bhau) Dagadu Khade.jpg,,,,,,
Suresh Damu Bhole (Raju Mama),1900-02-28,Jalgaon City,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Suresh Damu Bhole (Raju Mama).jpg,,,,,,
Suresh Ramchandra Dhas,1900-02-23,Ashti,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Dhas Suresh Ramchandra.jpg,,,,,,
Tanaji Jayawant Sawant,1900-02-29,Paranda,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Tanaji Jayawant Sawant.jpg,,,,,,
Tanhaji Sakharamji Mutkule,1900-03-03,Hingoli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Mutkule Tanhaji Sakharamji.jpg,,,,,,
Tukaram Ramkrushna Kate,1900-03-02,Chembur,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Tukaram Ramkrushna Kate.jpg,,,,,,
Tushar Govindrao Rathod,1900-02-14,Mukhed,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Tushar Govindrao Rathod.jpg,,,,,,
Uday Ravindra Samant,1900-02-17,Ratnagiri,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Uday Ravindra Samant.jpg,,,,,,
Umesh Alias Chandu Atmaramji Yawalkar,1900-02-21,Morshi,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Umesh Alias Chandu Atmaramji Yawalkar.jpg,,,,,,
Uttamrao Shivdas Jankar,1900-02-27,Malshiras,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Uttamrao Shivdas Jankar.jpg,,,,,,
Varun Satish Sardesai,1900-02-01,Vandre East,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Varun Satish Sardesai.jpg,,,,,,
Vidya Jaiprakash Thakur,1900-03-03,Goregaon,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vidya Jaiprakash Thakur.jpg,,,,,,
Vijay Bharatlal Rahangdale,1900-02-25,Tirora,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vijay Bharatlal Rahangdale.jpg,,,,,,
Vijay Namdeorao Wadettiwar,1900-03-01,Brahmapuri,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vijay Namdeorao Wadettiwar.jpg,,,,,,
Vijay Sidramappa Deshmukh,1900-02-29,Solapur City North,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Deshmukh Vijay Sidramappa.jpg,,,,,,
Vijaybapu Shivtare,1900-03-05,Purandar,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vijaybapu Shivtare.jpg,,,,,,
Vijaykumar Krushanrao Gavit,1900-03-09,Nandurbar,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vijaykumar Krushanrao Gavit.jpg,,,,,,
Vijaysinh Shivajirao Pandit,1900-02-16,Georai,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vijaysinh Shivajirao Pandit.jpg,,,,,,
Vikas Pandurang Thakre,1900-02-27,Nagpur West,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vikas Pandurang Thakre.jpg,,,,,,
Vikram Babanrao Pachpute,1900-02-08,Shrigonda,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Pachpute Vikram Babanrao.jpg,,,,,,
Vilas Sandipanrao Bhumre,1900-02-07,Paithan,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Bhumre Vilas Sandipanrao.jpg,,,,,,
Vilas Sukur Tare,1900-02-21,Boisar,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vilas Sukur Tare.jpg,,,,,,
Vinay Vilasrao Kore (Savkar),1900-02-21,Shahuwadi,Male,Jan Surajya Shakti,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Vinay Vilasrao Kore (Savkar).jpg,,,,,,
Vinod Agrawal,1900-02-24,Gondiya,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,,,Agrawal Vinod.jpg,,,,,,
