MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Images,image,Image,Gender,mp_note,Email,Contact,attendance,Start of Term
Inturi Nageswara Rao,47,Kandukur,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Inturi Nageswara Rao.jpg,,,,,,,,
Dr. Ugra Narasimha Reddy Mukku,50,Kanigiri,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Dr. Ugra Narasimha Reddy Mukku.jpg,,,,,,,,
Dagumati Venkata Krishna Reddy,58,Kavali,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Dagumati Venkata Krishna Reddy.jpg,,,,,,,,
Boggula Dastagiri,39,Kodumur (Sc),Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Boggula Dastagiri.jpg,,,,,,,,
Arava Sreedhar,27,Kodur (Sc),Male,Janasena Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Arava Sreedhar.jpg,,,,,,,,
Doctor Dola Sree Bala Veeranjaneya Swamy,54,Kondapi (Sc),Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Doctor Dola Sree Bala Veeranjaneya Swamy.jpg,,,,,,,,
Bandaru Satyananda Rao,59,Kothapeta,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Bandaru Satyananda Rao.jpg,,,,,,,,
Prashanthi Reddy Vemireddy,58,Kovur,Female,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Prashanthi Reddy Vemireddy.jpg,,,,,,,,
Muppidi Venkateswara Rao,54,Kovvur,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Muppidi Venkateswara Rao.jpg,,,,,,,,
Chandrababu Naidu Nara,74,Kuppam,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Chandrababu Naidu Nara.jpg,,,,,,,,
T.G.Bharath,48,Kurnool,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,T.G.Bharath.jpg,,,,,,,,
Jagadeeswari Thoyaka,39,Kurupam,Female,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Jagadeeswari Thoyaka.jpg,,,,,,,,
Julakanti Brahmananda Reddy,60,Macherla,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Julakanti Brahmananda Reddy.jpg,,,,,,,,
Kollu. Ravindra,51,Machilipatnam,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kollu. Ravindra.jpg,,,,,,,,
M.S.Raju,42,Madakasira (Sc),Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,M.S.Raju.jpg,,,,,,,,
M.Shajahan Basha,54,Madanapalle,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,M.Shajahan Basha.jpg,,,,,,,,
Bandaru Satyanarayana Murthy,68,Madugula,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Bandaru Satyanarayana Murthy.jpg,,,,,,,,
Jogeswara Rao.V,69,Mandapeta,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Jogeswara Rao.V.jpg,,,,,,,,
Nara Lokesh,41,Mangalagiri,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Nara Lokesh.jpg,,,,,,,,
Y. Balanagi Reddy,60,Mantralayam,Male,Yuvajana Sramika Rythu Congress Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Y. Balanagi Reddy.jpg,,,,,,,,
Kandula Narayana Reddy,54,Markapuram,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kandula Narayana Reddy.jpg,,,,,,,,
Datla Subbaraju (Buchibabu),51,Mummidivaram,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Datla Subbaraju (Buchibabu).jpg,,,,,,,,
Sudhakar Putta,60,Mydukur,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Sudhakar Putta.jpg,,,,,,,,
